"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Direction of arrival tracking using adaptive robust subspace decomposition and Kalman filter","Z. Bekhtaoui; A. Meche; K. Abed-Meraim; M. Dahmani","Laboratoire Signaux et Images, USTO-MB, Oran, Algeria; Laboratoire Signaux et Images, USTO-MB, Oran, Algeria; IUF (Institut Universitaire de France) Member Affiliated to PRISME Lab, Univ. Orléans, France; Laboratoire Signaux et Images, USTO-MB, Oran, Algeria","2023 20th International Multi-Conference on Systems, Signals & Devices (SSD)","6 Feb 2024","2023","","","771","776","In this paper, we consider directions of arrival estimation and tracking in a noisy and relatively adverse scenario. We thus use a robust subspace tracking method called HTFAPI that exploits a weighted least squares criterion to enhance robustness, followed by a smoothing Kalman filter to improve the estimation. Simulated experiments are then presented to show that the proposed solution enhances the performance when dealing with corrupted data in an impulsive noise environment.","2474-0446","979-8-3503-3256-8","10.1109/SSD58187.2023.10411231","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10411231","Robust subspace tracking;Directions of arrival;Kalman filter;Impulsive noise","Performance evaluation;Direction-of-arrival estimation;Smoothing methods;Estimation;Robustness;Kalman filters;Noise measurement","","","","19","IEEE","6 Feb 2024","20-23 Feb. 2023","20-23 Feb. 2023","IEEE","IEEE Conferences"
"Direction-of-Arrival Tracking of Multiple Fast-Moving Sources in Antenna Array based Access Networks","Z. Tang; A. Manikas","Department of Electrical and Electronics Engineering, Imperial College London; Department of Electrical and Electronics Engineering, Imperial College London",ICC 2020 - 2020 IEEE International Conference on Communications (ICC),"27 Jul 2020","2020","","","1","6","This paper is concerned with the problem of simultaneously tracking the direction-of-arrival (DOA) of multiple fast moving sources using the vector-signal received by a small aperture antenna array of N elements. The antenna array may be located at the Node-B, eNode-B or gNode-B of an access network and is used in conjunction with a novel trajectory tracking algorithm. The proposed algorithm incorporates a “manifold extender” together with a state space model and an arrayed extended Kalman filter (EKF). These provide a spatiotemporal tracking approach of the DOAs and angular velocities of multiple fast moving sources snapshot-by-snapshot. Furthermore, two different manifold extenders are employed in the proposed algorithm and their performance is evaluated using computer simulation studies and is compared with the case where the proposed algorithm is implemented without a “manifold extender”.","1938-1883","978-1-7281-5089-5","10.1109/ICC40277.2020.9148870","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9148870","Array signal processing;source tracking;extended Kalman filter;spatiotemporal;direction-of-arrival;array manifolds;extended manifolds","Antenna arrays;Manifolds;Direction-of-arrival estimation;Signal processing algorithms;Computational modeling;Radar tracking;Estimation","","2","","15","IEEE","27 Jul 2020","7-11 June 2020","7-11 June 2020","IEEE","IEEE Conferences"
"Tracking a Plane Wave Direction using Sparse Arrays with an Extended Kalman Filter","S. Rahman; K. Adhikari","University of Rhode Island, Kingston, RI, USA; University of Rhode Island, Kingston, RI, USA",NAECON 2024 - IEEE National Aerospace and Electronics Conference,"18 Sep 2024","2024","","","180","184","This work focuses on estimating the direction of arrival of a plane wave from a moving source using time domain snapshots captured by a linear array. We employ an extended Kalman filter by linearizing the time domain measurement model. We consider the performance of a full array, which serves as a benchmark for comparison with three popular sparse arrays: coprime, nested, and shift-invariant sparse arrays. The motivation for using such sparse arrays is to reduce overall cost, sensor count, and computation burden. The simulation results demonstrate that sparse arrays achieve comparable accuracy to full arrays of equivalent aperture. Among the sparse arrays studied, the coprime array exhibits the highest performance, with a mean squared error closest to that of the full array.","2379-2027","979-8-3503-6762-1","10.1109/NAECON61878.2024.10670645","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10670645","Coprime array;direction of arrival (DOA);extended Kalman filter(EKF);nested array;shift-invariant sparse array (SISA);sparse arrays","Geometry;Direction-of-arrival estimation;Costs;Simulation;Computational modeling;Apertures;Time measurement","","","","26","IEEE","18 Sep 2024","15-18 July 2024","15-18 July 2024","IEEE","IEEE Conferences"
"Frequency-domain Robust Underwater Direction-of-arrival Tracking","B. Zhang; J. Zhang; J. Yang; W. Kang; H. Cao; X. Hou","The 705 Research Institute, China State Shipbulding Corporation Limited, Xi’an, China; The 705 Research Institute, China State Shipbulding Corporation Limited, Xi’an, China; The 705 Research Institute, China State Shipbulding Corporation Limited, Xi’an, China; The 705 Research Institute, China State Shipbulding Corporation Limited, Xi’an, China; The 705 Research Institute, China State Shipbulding Corporation Limited, Xi’an, China; School of Marine Science and Technology, Northwestern Polytechnical University, Xi’an, China",2025 8th International Conference on Information Communication and Signal Processing (ICICSP),"21 Jan 2026","2025","","","380","384","The robust underwater frequency-domain direction-of-arrival (DOA) tracking is proposed to develop the performance of the DOA tracking in the scenario of uncertain environment noise. The time-domain signal received by hydrophone array is transform to frequency-domain signal, and the frequency-domain measurement model of the bearing angle of the target is establish in the frame work of the EKF. Thus, the frequency-domain EKF for DOA tracking is proposed. The uncertain environment noise in the frequency-domain is easily filtered out by extract the frequencies around the frequency of the target signal. By utilizing the EKF scheme, the kinematic model of the underwater target is introduced to decrease the influence of the uncertain measurement noise. By utilizing the frequency-domain measurement, the uncertain environment noise is easily filtered out by extract the frequencies around the frequency of the target signal in the frequency domain. The proposed method is demonstrated and verified by the simulation, and both of the robustness and accuracy are proved.","2770-792X","979-8-3503-5765-3","10.1109/ICICSP66564.2025.11338321","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11338321","underwater direction-of-arrival tracking;robust tracking;extended Kalman filter;Fourier transform;frequency-domain tracking","Time-frequency analysis;Target tracking;Direction-of-arrival estimation;Accuracy;Frequency-domain analysis;Noise;Measurement uncertainty;Noise measurement;Time-domain analysis;Hydrophones","","","","15","IEEE","21 Jan 2026","19-21 Sept. 2025","19-21 Sept. 2025","IEEE","IEEE Conferences"
"Location Awareness Method for ADS-B Signal Source Based on Satellite","W. Yang; W. Ren; J. Zhang; S. Shi; X. Yu; G. Tian; H. Cao","State Key Laboratory of Space, Ground Integrated Information Technology, Beijing, China; State Key Laboratory of Space, Ground Integrated Information Technology, Beijing, China; State Key Laboratory of Space, Ground Integrated Information Technology, Beijing, China; Beijing Institute of Tracking and Telecommunication Technology, Beijing, China; State Key Laboratory of Space, Ground Integrated Information Technology, Beijing, China; State Key Laboratory of Space, Ground Integrated Information Technology, Beijing, China; State Key Laboratory of Space, Ground Integrated Information Technology, Beijing, China","2022 15th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI)","21 Dec 2022","2022","","","1","5","Location awareness for a signal source based on satellite is one of a key technology to build an electromagnetic spectrum monitoring system based on satellite. It can realize large-scale, all-weather and long-time target position monitoring by using the high advantages of the satellite platform, which is of certain significance for the rapid and accurate positioning of interference sources and the position monitoring of aviation and marine targets. A location awareness method takes a low earth orbit satellite (LEO) as an awareness platform, combines the characteristics of Automatic Dependent Surveillance - Broadcast (ADS-B) signal, estimates the direction of arrival and frequency of ADS- B signal source, and designs an extended Kalman filter algorithm to realize the location awareness of ADS- B signal source in the paper. The feasibility of the method is verified by STK and MATLAB simulation.","","978-1-6654-8887-7","10.1109/CISP-BMEI56279.2022.9980146","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9980146","Location awareness;Low earth orbit satellite;ADS-B;Direction of arrival estimation;Extended Kalman filter","Location awareness;Direction-of-arrival estimation;Surveillance;Satellite broadcasting;Low earth orbit satellites;Signal processing algorithms;Signal processing","","1","","12","IEEE","21 Dec 2022","5-7 Nov. 2022","5-7 Nov. 2022","IEEE","IEEE Conferences"
"Adaptive Generalized Sidelobe Canceler Beamforming With Time-Varying Direction-of-Arrival Estimation for Arrayed Sensors","D. -C. Chang; B. -W. Zheng","Department of Communication Engineering, National Central University, Taoyuan, Taiwan; XYZprinting Inc., New Taipei, Taiwan",IEEE Sensors Journal,"18 Mar 2020","2020","20","8","4403","4412","Adaptive generalized sidelobe cancelers (GSCs) have been widely used to enhance the desired signal and instantaneously suppress interference signal and noise. However, the GSC beamforming method must know the direction of arrival (DOA) of the desired signal in advance. In this paper, we consider the case of a sensor array application in free-field air in which the target signal source is moving, leading to a time-varying DOA problem. Through analysis of the GSC output error signal, we propose an effective method for estimating the time-varying DOA for a GSC. The new method avoids the intensive complexity requirements of conventional DOA estimation algorithms such as the multiple signal classification algorithm and estimation of signal parameters via rotational invariant techniques. In addition, the convergence performance of adaptive GSC algorithms suffers from an error signal in the presence of the desired signal. A simple augmented Kalman filter (AKF) is employed to calculate the beamformer's weighting coefficients, removing the influence of the desired signal from the GSC output to improve the convergence performance. A simulation evaluation of the signal-to-interference-plus-noise ratio (SINR) revealed that the AKF algorithm combined with the new DOA tracking method has a better convergence rate and SINR performance than other adaptive GSC algorithms of similar complexity such as the standard Kalman filter and recursive least squares.","1558-1748","","10.1109/JSEN.2019.2962215","Qualcomm(grant numbers:NAT-414678); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8943308","Beamforming;generalized sidelobe canceler (GSC);sensor array;direction-of-arrival (DOA);Kalman filter (KF)","Direction-of-arrival estimation;Sensor arrays;Array signal processing;Signal processing algorithms;Estimation;Signal to noise ratio","","15","","31","IEEE","25 Dec 2019","15 April15, 2020","","IEEE","IEEE Journals"
"Direction of Arrival Tracking using Orthogonal Dipoles","M. Wang","Dept. of Data Management, Postal Savings Bank of China, Beijing, China",2024 9th International Conference on Signal and Image Processing (ICSIP),"23 Sep 2024","2024","","","137","141","In this paper, we propose a novel approach for tracking the direction of arrival (DOA) using a collocated microphone array equipped with double dipole microphones. Our method consists of two main steps. First, we employ a DOA estimation procedure based on a histogram-based wrapped Gaussian mixture model (Hist-WGMM). Second, we introduce a new Kalman filter based on the wrapped Gaussian distribution. The DOA estimation procedure is designed for real-time deployment and exhibits robustness against reverberation and noise. Additionally, our proposed Kalman filter mitigates the issue of oscillations around 0°, a common problem faced by conventional Kalman filters. Through numerical simulations, we validate the effectiveness of our entire tracking method, demonstrating its ability to accurately estimate and track DOA in a fast and precise manner.","2642-6471","979-8-3503-5092-0","10.1109/ICSIP61881.2024.10671444","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10671444","DOA estimation;DOA tracking;orthogonal dipoles;Kalman filter;mixture model","Direction-of-arrival estimation;Noise;Estimation;Numerical simulation;Robustness;Real-time systems;Numerical models","","","","20","IEEE","23 Sep 2024","12-14 July 2024","12-14 July 2024","IEEE","IEEE Conferences"
"Direction-of-Arrival Tracking Loop for Single-Vector Hydrophone","X. Ou; Z. Jiang; X. Han","School of Future Technology, Harbin Engineering University, Harbin, China; College of Underwater Acoustic Engineering, Harbin Engineering University, Harbin, China; College of Underwater Acoustic Engineering, Harbin Engineering University, Harbin, China",2024 OES China Ocean Acoustics (COA),"25 Oct 2024","2024","","","1","6","In dynamic scenarios, traditional single-vector hydrophone DOA estimation methods suffer from low accuracy. In this study, for the first time, the concept of a single-vector hydrophone DOA tracking loop is introduced. It employs an average intensity estimator or an active average intensity estimator as the phase discriminator and utilizes a second-order phase-locked loop to dynamically track the incoming direction of the signal. For the optimal synthesis of the velocity, the output of the phase discriminator in the phase-locked loop is utilized. Computer simulation and analysis confirm the effectiveness of this approach, revealing accurate DOA tracking and optimal velocity channel combining in dynamic environments.","","979-8-3503-4029-7","10.1109/COA58979.2024.10723661","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10723661","vector hydrophone;direction-of-arrival;phase-locked loop","Tracking loops;Estimation error;Underwater communication;Direction-of-arrival estimation;Accuracy;Filtering;Heuristic algorithms;Computer simulation;Vectors;Phase locked loops","","","","7","IEEE","25 Oct 2024","29-31 May 2024","29-31 May 2024","IEEE","IEEE Conferences"
"An improved Kalman filter positioning method in NLOS environment","Z. Hao; B. Li; X. Dang","College of Computer Science and Engineering, Northwest Normal University, Lanzhou, China; College of Computer Science and Engineering, Northwest Normal University, Lanzhou, China; College of Computer Science and Engineering, Northwest Normal University, Lanzhou, China",China Communications,"24 Jan 2020","2019","16","12","84","99","In the precision positioning system, NLOS (Non Line of Sight) propagation and clock synchronization error caused by multiple base stations are the main reasons for reducing the reliability of communication and positioning accuracy. So, in the NLOS environment, it has an important role to eliminate the clock synchronization problem in the positioning system. In order to solve this problem, this paper proposes an improved Kalman filter localization method NLOS-K (Non Line of Sight-Kalman filter). First, the maximum likelihood estimation algorithm is used to iterate. Then, the Kalman filter algorithm is implemented and the Kalman gain matrix is redefined. The clock drift is compensated so that the clock between the master and slave base stations remains synchronized. The experimental results show that in the non-line-of-sight environment, compared with other algorithms, the positioning accuracy error of the improved algorithm is about 5 cm, and the accuracy compared with other algorithms is 97%. In addition, the influence of bandwidth and spectral density on the method is analyzed, and the accuracy and stability of positioning are improved as a whole.","1673-5447","","10.23919/JCC.2019.12.006","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8968725","NLOS;clock synchronization;Kalman filtering;maximum likelihood estimation;spectral density","Base stations;Synchronization;Clocks;Nonlinear optics;Estimation;Kalman filters;Direction-of-arrival estimation","","13","","","","24 Jan 2020","Dec. 2019","","IEEE","IEEE Magazines"
"Multi Direction-of-Arrival Tracking Using Rigid and Flexible Antenna Arrays","Z. Tang; A. Manikas","Department of Electrical and Electronics Engineering, Imperial College London, London, U.K.; Department of Electrical and Electronics Engineering, Imperial College London, London, U.K.",IEEE Transactions on Wireless Communications,"10 Nov 2021","2021","20","11","7568","7580","This paper is concerned with the problem of simultaneously tracking the direction-of-arrival (DOA) of far-field multiple moving sources/users in wireless communications using the vector-signal received by an antenna array of  $N$  elements. The antenna array can be rigid (fixed array locations) or flexible (time-varying array locations), and it is used in conjunction with a “manifold extender”, a spatiotemporal state-space model and a Kalman-type tracking approach for non-stationary wireless channels. In particular, two tracking approaches are proposed. The first is based on an arrayed Extended Kalman Filter (arrayed-EKF) algorithm and the second on an arrayed Unscented Kalman Filter (arrayed-UKF) algorithm. Furthermore, if the array is rigid the spatiotemporal state-space model incorporates the DOAs and the angular velocities of the sources, while if it is flexible it also includes the array locations in the set of state-variables. The performance of the two approaches using both rigid and flexible arrays is evaluated using computer simulation studies and compared with a subspace tracking algorithm and a particle filter method under the same conditions. The results show that the arrayed-UKF and the arrayed-EKF show superior tracking performance, especially for low SNRs.","1558-2248","","10.1109/TWC.2021.3085753","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463756","Array processing;flexible array;DOA tracking;extended Kalman filter;unscented Kalman filter;spatiotemporal arrays;array manifolds;extended manifolds","Antenna arrays;Radar tracking;Kalman filters;Direction-of-arrival estimation;Array signal processing;Wireless communication;Geometry","","17","","40","CCBY","23 Jun 2021","Nov. 2021","","IEEE","IEEE Journals"
