"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Zhang, C.; Li, Y.; Han, P.","Zhang, Che (59302567600); Li, Yan (54793221900); Han, Peng (59034151100)","59302567600; 54793221900; 59034151100","Accurate Position and Orientation Estimation for UWB-Only Systems Using a Single Dual-Antenna Module","2026","Electronics (Switzerland)","15","2","369","","","0","10.3390/electronics15020369","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028656143&doi=10.3390%2Felectronics15020369&partnerID=40&md5=764520bc1433235e7d04a02420775813","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105028656143"
"Salari, S.; Chan, F.","Salari, Soheil (20436942200); Chan, Francois (7202586438)","20436942200; 7202586438","DOA Tracking Combining Compressive Sampling and Kalman Filtering for MIMO Radars Operating in Cluttered Environment","2026","IEEE Access","14","","","12435","12446","0","10.1109/ACCESS.2026.3654100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028165937&doi=10.1109%2FACCESS.2026.3654100&partnerID=40&md5=e6894d0336a1960b0e19778d39ac22ac","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105028165937"
"Li, Y.; Chen, Z.; Yin, F.","Li, Yuzhou (57217998753); Chen, Zhe (57188693126); Yin, Fuliang (7202679527)","57217998753; 57188693126; 7202679527","Multi-Robot Acoustic SLAM Based on Distributed Robust Discrete-Gamma Cardinalized Probability Hypothesis Density Filter","2026","IEEE Transactions on Audio, Speech and Language Processing","34","","","109","124","0","10.1109/TASLPRO.2025.3639771","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023904938&doi=10.1109%2FTASLPRO.2025.3639771&partnerID=40&md5=cfdae94bc2cafdf0419e0dc1ea2747df","Article","Final","","Scopus","2-s2.0-105023904938"
"Deng, Y.; Tang, R.; Zheng, X.; Dong, M.; He, J.; Xie, J.; Luo, B.; Huang, Z.","Deng, Yili (58779538400); Tang, Rui (13003869600); Zheng, Xuanyu (57220968700); Dong, Miaomiao (56460758000); He, Jiguang (55551670200); Xie, Jincheng (58854017900); Luo, Baojia (57874609600); Huang, Zhongyi (7406218951)","58779538400; 13003869600; 57220968700; 56460758000; 55551670200; 58854017900; 57874609600; 7406218951","Virtual Antenna Array-Based Online Localization Under Oscillator Frequency Offset, Irregular Array Geometry, and NLoS Environment","2026","IEEE Transactions on Communications","74","","","1033","1049","0","10.1109/TCOMM.2025.3634247","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022268780&doi=10.1109%2FTCOMM.2025.3634247&partnerID=40&md5=603e443fe8c20c4942a080b88d694ae4","Article","Final","","Scopus","2-s2.0-105022268780"
"Asl Sabbaghian Hokmabadi, I.; Ai, M.; El-Sheimy, N.","Asl Sabbaghian Hokmabadi, Ilyar (58350816800); Ai, Mengchi (57205214908); El-Sheimy, Naser M. (59454510300)","58350816800; 57205214908; 59454510300","A fast and accurate maximum likelihood particle filtering for the indoor DoA-based positioning","2025","Geomatica","77","2","100058","","","1","10.1016/j.geomat.2025.100058","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008225557&doi=10.1016%2Fj.geomat.2025.100058&partnerID=40&md5=61e2e1e24d41e69c0d3c8dd125c2ae03","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105008225557"
"Fang, S.; Yu, K.","Fang, Shiming (59388774300); Yu, Kaiyan (36717124600)","59388774300; 36717124600","Fine-tuning hybrid dynamics with physics-informed neural networks for vehicle dynamics estimation","2025","International Journal of Intelligent Robotics and Applications","9","4","","1594","1610","1","10.1007/s41315-025-00452-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003722692&doi=10.1007%2Fs41315-025-00452-4&partnerID=40&md5=fef0fa70c30be9658622ccdca13517a8","Article","Final","","Scopus","2-s2.0-105003722692"
"Li, C.; Liu, Y.; Feng, Y.; Yuan, S.; Rui, S.","Li, Chunming (36606289400); Liu, Yuyang (60247264900); Feng, Yashuang (60247596800); Yuan, Songling (59508358100); Rui, Sun (60246772000)","36606289400; 60247264900; 60247596800; 59508358100; 60246772000","Application potential of miniaturized acoustic arrays in photoacoustic fusion platforms: algorithm and hardware implementation","2025","Proceedings of SPIE - The International Society for Optical Engineering","13715","","137150Z","","","0","10.1117/12.3074158","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025194353&doi=10.1117%2F12.3074158&partnerID=40&md5=d0971b60c30384eda66cb5a49e8bb76e","Conference paper","Final","","Scopus","2-s2.0-105025194353"
"Takyi-Aninakwa, P.; Masahudu, F.; Ali, T.S.; Fall, M.; Song, Y.","Takyi-Aninakwa, Paul (57426882100); Masahudu, Faisal (58550636600); Ali, Tofik Seid (59773376600); Fall, Mamadou (59774303100); Song, Yingze (57207914425)","57426882100; 58550636600; 59773376600; 59774303100; 57207914425","Key parameter-enhanced canonical model for lithium-ion battery state-of-charge estimation","2025","Measurement: Journal of the International Measurement Confederation","255","","117994","","","2","10.1016/j.measurement.2025.117994","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006677529&doi=10.1016%2Fj.measurement.2025.117994&partnerID=40&md5=3cb5a8bcae39424556219b2ff2863c6a","Article","Final","","Scopus","2-s2.0-105006677529"
"Fu, G.; Cheng, Y.; Liu, J.; Cui, Y.; Pang, W.; Ding, L.; Cui, S.","Fu, Guangshun (58892496100); Cheng, Yuan (55487651700); Liu, Jundong (59925088200); Cui, Yong (59924841000); Pang, Wei (58811722500); Ding, Ling (39161285900); Cui, Shumei (7202413712)","58892496100; 55487651700; 59925088200; 59924841000; 58811722500; 39161285900; 7202413712","Axial temperature distribution estimation of induction motor slot conductors using a fractional-order thermal diffusion model and extended Kalman filter","2025","Applied Thermal Engineering","277","","126831","","","6","10.1016/j.applthermaleng.2025.126831","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007063929&doi=10.1016%2Fj.applthermaleng.2025.126831&partnerID=40&md5=421858d4de4759afcdcab352dd80962f","Article","Final","","Scopus","2-s2.0-105007063929"
"Yu, H.; Wang, Q.; Gao, Y.; Zhang, S.; Wang, G.; Wang, S.; Zhao, J.; Yao, H.; Sun, J.; Zhang, J.","Yu, Hui (57189699320); Wang, Qingsong (57226721932); Gao, Yiming (60005253100); Zhang, Sijie (59761819600); Wang, Guangpu (57735724000); Wang, Shuo (57204979398); Zhao, Jing (57222256194); Yao, Hongjian (59762170300); Sun, Jinglai (57207254334); Zhang, Jie (56949364700)","57189699320; 57226721932; 60005253100; 59761819600; 57735724000; 57204979398; 57222256194; 59762170300; 57207254334; 56949364700","An Automatic Arrival Time Parametric Imaging Method for the Classification of Blood Perfusion Direction of Lymph Nodes in Contrast-Enhanced Ultrasound Videos","2025","Ultrasound in Medicine and Biology","51","10","","1691","1700","0","10.1016/j.ultrasmedbio.2025.06.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011064649&doi=10.1016%2Fj.ultrasmedbio.2025.06.008&partnerID=40&md5=e768a8827fab1bd8df3a046809960718","Article","Final","","Scopus","2-s2.0-105011064649"
