decision,reason_code,reason,title,year,venue,doi,arxiv,url,source_file,abstract_snippet
REVIEW,R_TRACK_ARRAY,Tracking terms with array/radar context; DOA not explicit.,Deconvolved Conventional Beamforming and Adaptive Cubature Kalman Filter Based Distant Speech Perception System,2020,IEEE Access,10.1109/access.2020.3030814,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9222129,ieee_xplore_2026-02-19_05-59-34.csv,"A spatial-temporal processing framework integrated of speech enhancement and speech tracking is proposed in this paper for distant speech perception. First, weak speech signals are enhanced by the deconvolved conventional beamforming (DCBF) with a microphone array. By virtue of t..."
REVIEW,R_DOA_ONLY,Mentions DOA/AoA but no explicit Kalman/tracking terms; review.,DOA Estimation on Sub-Array Geometry Using Model Based Approach,2019,2019 International Conference on Applied Machine Learning (ICAML),10.1109/icaml48257.2019.00018,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8989248,ieee_xplore_2026-02-19_05-59-34.csv,"The paper presents a model-based method to estimate the DOAs of multiple targets using various adaptive algorithms. The model the parameters of the LTI system are considered as the weight associating the adaptive filter. Further to improve the performance, the geometry of the Ant..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,Kalman Filter for Dynamic Imaging Based on Complex Empirical Covariances,2023,2023 IEEE 9th International Workshop on Computational Advances in Multi-Sensor Adaptive Processing (CAMSAP),10.1109/camsap58249.2023.10403483,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10403483,ieee_xplore_2026-02-19_05-59-34.csv,"Kalman filter (KF) is a priori unsuitable for the estimation from sample covariance matrices as they cannot be formulated analytically as a function of state parameters to be estimated. In this work, we propose a novel KF adapted to sample covariance matrices under the unconditio..."
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,RF emitter localization and beam pattern auto-calibration using amplitude comparison of a two-element array,2015,2015 IEEE 6th International Workshop on Computational Advances in Multi-Sensor Adaptive Processing (CAMSAP),10.1109/camsap.2015.7383799,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7383799,ieee_xplore_2026-02-19_05-59-34.csv,"Amplitude comparison is an efficient method to find the direction of arrival (DOA) of a radio frequency (RF) emitter. However, the DOA accuracy obtained by this method is usually poor due to beam pattern distortion. This paper provides a localization and beam pattern auto-calibra..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,Passive Multisource Tracking via Distributed Sparse Arrays: Homogeneous Data Fusion and Multivariate Adaptation,2025,IEEE Transactions on Intelligent Transportation Systems,10.1109/tits.2025.3528421,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10850592,ieee_xplore_2026-02-19_05-59-34.csv,"The global navigation satellite systems (GNSS) are crucial for applications such as traffic monitoring, intelligent transportation systems and advanced driver assistance systems; however, they are prone to large deviations or even failures in hidden scenarios such as urban canyon..."
EXCLUDE,E_ARRAY_NO_DOA_TRACK,Array/radar terms but no DOA or tracking terms.,Pose-Aware 3D Beamwidth Adaptation for Mobile Extended Reality,2024,ICC 2024 - IEEE International Conference on Communications,10.1109/icc51166.2024.10622341,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10622341,ieee_xplore_2026-02-19_05-59-34.csv,This paper presents a sensor-aided pose-aware beamwidth adaptation design for a conceptual extended reality (XR) Head-Mounted Display (HMD) equipped with a 2D planar array. The beam is tracked and adapted on the user side by leveraging HMD orientation estimates. The beamwidth ada...
INCLUDE,I_DOA_TRACK,Mentions DOA/AoA and tracking (Kalman/EKF/UKF/innovation).,Robust Vehicle Localization Based on Adaptive DOA Estimation and UKF under Varying Interference Conditions,2026,2026 IEEE 23rd Consumer Communications & Networking Conference (CCNC),10.1109/ccnc65079.2026.11366311,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11366311,ieee_xplore_2026-02-19_05-59-34.csv,"Accurate localization in GPS-denied environments is vital for ITS and vehicular networks. While Root-MUSIC offers high accuracy in clean LoS conditions, FBSS enhances robustness under multipath and interference. To overcome the limitations of fixed estimators, this paper proposes..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,Deep Fuzzy System for Dual-Station Target Tracking With Azimuth and Doppler Measurements,2025,IEEE Transactions on Fuzzy Systems,10.1109/tfuzz.2024.3519767,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10806764,ieee_xplore_2026-02-19_05-59-34.csv,"To address the issues of excessive estimation error and unstable filtering caused by uncertainties in process noise and system models, we propose a Wang–Mendel fuzzy system (WMFS)-based unscented Kalman filter (UKF) algorithm for dual-station target tracking with azimuth and Dopp..."
REVIEW,R_TRACK_ARRAY,Tracking terms with array/radar context; DOA not explicit.,CoPreMo: A Collaborative Predictive Model in Time Series and Its Application to Radar Target Tracking for ADAS/AD Vehicles,2025,IEEE Transactions on Intelligent Vehicles,10.1109/tiv.2024.3461730,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10681252,ieee_xplore_2026-02-19_05-59-34.csv,"Automotivedriving assistant systems (ADAS) and Automated driving (AD) technologies are commonly employed in the control of unmanned vehicles along a path. However, like many other technologies, they come with risks, including potential misdirection and collisions with obstacles a..."
EXCLUDE,E_NOT_DOA,No DOA/AoA/array context in title/abstract.,Generating Augmented Quaternion Random Variable With Generalized Gaussian Distribution,2018,IEEE Access,10.1109/access.2018.2848202,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8386761,ieee_xplore_2026-02-19_05-59-34.csv,"There is a need to generate quaternion valued processes with a given distribution ranging from super-Gaussian, Gaussian to sub-Gaussian with different degrees of properness for numerous practical applications, such as modeling the signal source, testing nonlinear adaptive filter ..."
