trigger,eta,n_trajectories,false_alarm_rate,detect_rate,mean_detection_delay,tail5_improve
sigma_y_sq,0.0,20,0.1,,,0.015011226758360863
sigma_y_sq,0.3,20,0.0,1.0,5.2,0.05144045970092217
sigma_y_sq,0.6,20,0.0,1.0,2.25,0.06642851345241071
sigma_y_sq,1.0,20,0.0,1.0,2.05,0.06592423230409622
time_to_learn,0.0,20,1.0,,,0.014085689522325992
time_to_learn,0.3,20,0.0,1.0,1.0,0.06917683256790041
time_to_learn,0.6,20,0.0,1.0,1.0,0.0441490588337183
time_to_learn,1.0,20,0.0,1.0,1.0,0.09085127785801887
whitened_cusum,0.0,20,0.1,,,0.00660238042473793
whitened_cusum,0.3,20,0.0,0.95,6.052631578947368,0.060317194010866305
whitened_cusum,0.6,20,0.0,0.85,5.235294117647059,0.0560231320121709
whitened_cusum,1.0,20,0.0,0.95,3.210526315789474,0.040159233698719425
